source_row,weapon,expanded_perks,notes,raw_perk_columns_json,parsed_perk_columns_json
3,鲁莽神谕,槽化枪管 / 广口弹匣,Tier S | Rank 4,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""]}"
3,鲁莽神谕,槽化枪管 / 合金弹匣,Tier S | Rank 4,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""]}"
3,鲁莽神谕,箭头制退器 / 广口弹匣,Tier S | Rank 4,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""]}"
3,鲁莽神谕,箭头制退器 / 合金弹匣,Tier S | Rank 4,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 失衡弹药 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 失衡弹药 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 失衡弹药 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 维度偏移 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 维度偏移 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 维度偏移 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 集体爆破 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 集体爆破 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 广口弹匣 / 集体爆破 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 失衡弹药 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 失衡弹药 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 失衡弹药 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 维度偏移 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 维度偏移 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 维度偏移 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 集体爆破 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 集体爆破 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",槽化枪管 / 合金弹匣 / 集体爆破 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 失衡弹药 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 失衡弹药 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 失衡弹药 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 维度偏移 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 维度偏移 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 维度偏移 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 集体爆破 / 冲击支撑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 集体爆破 / 混沌重塑,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
4,"鲁莽神谕
万神殿版本",箭头制退器 / 广口弹匣 / 集体爆破 / 枯萎凝视,所有相关虚空perk外加混沌重塑，全面出色,"{""Perk"": ""槽化枪管\n箭头制退器"", ""Perk__2"": ""广口弹匣\n合金弹匣"", ""Perk 1"": ""失衡弹药\n维度偏移\n集体爆破"", ""Perk 2"": ""冲击支撑\n混沌重塑\n枯萎凝视""}","{""Perk"": [""槽化枪管"", ""箭头制退器""], ""Perk__2"": [""广口弹匣"", ""合金弹匣""], ""Perk 1"": [""失衡弹药"", ""维度偏移"", ""集体爆破""], ""Perk 2"": [""冲击支撑"", ""混沌重塑"", ""枯萎凝视""]}"
